着,発,🦌,🎰,🌸,🦖,☕
-,5:00,パッパラ自宅,パッパラ自宅,×,×,×
5:15,5:17,ピアゴ ラ フーズコア黒川店,ピアゴ ラ フーズコア黒川店,ピアゴ ラ フーズコア黒川店,×,×
6:00,6:02,緒川駅,緒川駅,緒川駅,緒川駅,×
6:45,7:00,師崎港,師崎港,師崎港,師崎港,×
7:10,-,篠島：釣り（3時間予定）,篠島：釣り（3時間予定）,篠島：釣り（3時間予定）,篠島：釣り（3時間予定）,×
-,8:44,篠島：釣り（3時間予定）,篠島：釣り（3時間予定）,篠島：釣り（3時間予定）,篠島：釣り（3時間予定）,万場大橋
8:50,8:59,篠島：釣り（3時間予定）,篠島：釣り（3時間予定）,篠島：釣り（3時間予定）,篠島：釣り（3時間予定）,岩塚駅
9:07,9:26,篠島：釣り（3時間予定）,篠島：釣り（3時間予定）,篠島：釣り（3時間予定）,篠島：釣り（3時間予定）,名古屋駅
10:21,11:05,篠島：釣り（3時間予定）,篠島：釣り（3時間予定）,篠島：釣り（3時間予定）,篠島：釣り（3時間予定）,河和駅/河和港
11:05,11:30,移動,篠島：自由行動,篠島：自由行動,篠島：自由行動,↓
11:25,14:30,×,↓,↓,↓,日間賀島[着：西港/発：東港]
11:40,14:30,日間賀島[着：西港/発：東港],↓,↓,↓,↓
14:35,16:30,篠島DIEUX TERRACE,篠島DIEUX TERRACE,篠島DIEUX TERRACE,篠島DIEUX TERRACE,
17:00,17:21,×,×,×,×,河和港/河和駅
-,16:55,篠島,篠島,篠島,篠島,↓
17:15,17:20,師崎港,師崎港,師崎港,師崎港,↓
17:40,-,↓,↓,↓,↓,知多半田駅
18:05,19:50,回転鮨 魚太郎,回転鮨 魚太郎,回転鮨 魚太郎,回転鮨 魚太郎,
19:55,20:02,↓,↓,↓,半田駅,↓
20:19,-,↓,↓,↓,緒川駅,↓
20:40,-,栄生駅,栄生駅,栄生駅,×,栄生駅
